GIN,NAME,SUBGROUP,STATUS,BENCH,DAS,CIUDAD,LINE_MANAGER,JORNADA,GCM,CATEGORIA,NIVELGCM,SCR,CC,CCNAME,GROUP1,GROUP2,GROUP3,GROUP4,N_4,AGRUPACION,Job Technology,JobTechnology Profile,SKILLs,ROLE,RLT,SKLANGUAGES,SKMETHODS,SKTECHSKILLS,SKCERTIF,SKTECHNOLOGIES,SKBUSSKILLS
6,Nombre_6,A2,AVAILABLE,4/1/2024,A000006,Madrid,Manager_56,100,TEC05,Tecnico Senior,5,37.97,ES755K0B51,AMS TMT ATOS IT,DIGITAL,AMS,Practice AMS Direct,Practice AMS General,Nombre_N_4_23,,BAU,JavaFX [3 Proficient],,TECHNICAL ENGINEER [5 Expert],,English (B1/B2 Intermediate)|French (A1 Beginner)|Spanish (C2 Mastery),Hybrid Agile (3),Agile Processes & Methodologies (3)|Application Servers (3)|Web Servers (3),,Java EE (J2EE) 8 (4)|Eclipse (4)|JSP (4)|Java EE (J2EE) (4)|JDBC (4)|Java server (tomcat) (4)|Struts 1.x (4)|Ibatis (4)|MySQL (4)|NetBeans (4)|Swing (4)|GWT (3)|EJB (Enterprise JavaBeans) (3)|EJB 2.0 (3),Financing (2)
7,Nombre_7,A2,AVAILABLE,4/1/2024,A000007,Madrid,Manager_56,100,AD06,Nivel 1,6,42.04,ES755K0B51,AMS TMT ATOS IT,DIGITAL,AMS,Practice AMS Direct,Practice AMS General,Nombre_N_4_23,,BAU,Java_EE [3 Proficient],,APPLICATION DEVELOPER [3 Proficient],,Portuguese (C2 Mastery)|Spanish (B1/B2 Intermediate),XML Schema Definition (XSD) (3)|Agile Project Management (1)|Web Services (General) (3)|Entity Relationship Modeling (3)|Document Object Model (DOM) (3),Application Development (4)|Web Development (4),,Java SE (J2SE) (3)|Eclipse (3)|Apache Maven (2)|Apache Subversion (SVN) (Open Source) (2)|CVS (3)|BankSphere (4)|Python (1)|SOAPUI (3)|SQL (Structured Query Language) (3)|HTML (3)|JavaScript (3)|XML (3)|XML Document Type Definition (DTD) (3)|XML Schema Definition Language ( XSD) (3)|XSLT (1)|JSP (1)|Postman (1)|Java Servlet 3 (3)|IBM WebSphere Application Server Liberty (3)|IBM Websphere Application Server (1)|IBM DB2 (2)|Apache Tomcat (3)|JDBC (2)|IBM Rational Rose (3)|UML (3)|CSS (2)|NACAR (1)|MySQL (3)|PHP (3)|Apache (2)|MS SQL Server 2000 (2)|MS Excel (2)|Mozilla Firefox (3)|FileZilla (3)|OpenOffice (3)|MS Word (3)|Webservices (3)|MS PowerPoint (2)|Ajax (1)|C (3)|Oracle PL/SQL (2)|PL/SQL (2),
